year,average_mv,count
1981,650000.00, 7.00 
1982,412500.00, 4.00 
1983,428571.43, 14.00 
1984,534615.38, 13.00 
1985,930645.16, 31.00 
1986,1363461.54, 52.00 
1987,1761250.00, 102.00 
1988,1499310.34, 145.00 
1989,1680972.22, 180.00 
1990,2205726.87, 227.00 
1991,3745307.17, 293.00 
1992,5469214.88, 363.00 
1993,5626381.21, 362.00 
1994,6228571.43, 414.00 
1995,6122082.38, 437.00 
1996,6695374.22, 481.00 
1997,7685294.12, 544.00 
1998,6171550.00, 501.00 
1999,6266217.56, 502.00 
2000,5923843.93, 520.00 
2001,4386811.93, 438.00 
2002,3448115.30, 454.00 
2003,2616393.44, 314.00 
2004,2154787.23, 148.00 
2005,1534090.91, 57.00 
2006,1238636.36, 11.00 